url,image,class,confidence
https://www.bbc.com/turkce/articles/cvgd05l78yeo,image_0.jpg,person,[    0.89569]
https://www.sondakika.com/guncel/haber-diyarbakir-da-dolandiricilik-ifadesi-17978694/,image_1.jpg,dog,[    0.64945]
https://tr.motor1.com/news/738581/kia-tasman-tasarim-secenegi/,image_2.jpg,truck,[    0.37332]
https://www.sozcu.com.tr/arda-guler-barcelon-a-macinda-oynayacak-mi-el-clasico-kadrosu-arda-listede-var-mi-p97733,image_3.jpg,person,[    0.94256]
https://www.bbc.com/turkce/articles/cv2grm4v97do,image_4.jpg,person,[    0.92777]
https://www.hurriyet.com.tr/kelebek/televizyon/dilber-cannesda-42572527,image_5.jpg,person,[    0.93178]
https://www.dunya.com/yasam-keyfi/yaz-aylarinda-yemek-aliskanliklari-nasil-degisiyor-haberi-418904,image_6.jpg,bowl,[    0.75956]
https://www.gazeteduvar.com.tr/forum/2018/09/05/ferdinand-tuhaf-bir-kacis-oykusu,image_7.jpg,cow,[    0.90305]
https://www.bbc.com/turkce/articles/c8vd44jdd5qo,image_8.jpg,cat,[    0.92219]
https://www.hurriyet.com.tr/sporarena/suudi-arabistan-roberto-mancini-ile-yollarini-ayirdi-42570769,image_9.jpg,person,[    0.89876]
